1,Москва
2,Санкт-Петербург
3,Новосибирск
4,Екатеринбург
5,Нижний Новгород
6,Самара
7,Омск
8,Казань
9,Челябинск
10,Ростов-на-Дону
11,Уфа
12,Волгоград 
13,Пермь
14,Красноярск
15,Воронеж
16,Саратов
17,Краснодар
18,Тольятти
19,Махачкала
20,Барнаул
21,Ульяновск
22,Ижевск
23,Владивосток
24,Тюмень
25,Ярославль
26,Иркутск
27,Хабаровск
28,Оренбург
29,Новокузнецк
30,Томск
31,Кемерово
32,Рязань
33,Астрахань
34,Пенза
35,Набережные Челны
36,Липецк
37,Тула
38,Киров
39,Чебоксары
40,Севастополь
41,Брянск
42,Калининград
43,Сочи
44,Курск
45,Иваново
46,Магнитогорск
47,Улан-Удэ
48,Тверь
49,Ставрополь
50,Нижний Тагил
51,Белгород
52,Архангельск
53,Владимир
54,Симферополь
55,Калуга
56,Курган
57,Владикавказ
58,Волжский
59,Смоленск
60,Саранск
61,Чита
62,Орёл
63,Череповец
64,Вологда
65,Мурманск
66,Сургут
67,Новороссийск
68,Якутск
69,Тамбов
70,Стерлитамак
71,Грозный
72,Кострома
73,Нальчик
74,Комсомольск-на-Амуре
75,Петрозаводск
76,Йошкар-Ола
77,Таганрог
78,Нижневартовск
79,Дзержинск
80,Сыктывкар
81,Братск
82,Орск
83,Энгельс
84,Шахты
85,Нижнекамск
86,Ангарск
87,Старый Оскол
88,Благовещенск
89,Бийск
90,Великий Новгород
91,Балашиха
92,Пятигорск
93,Прокопьевск
94,Армавир
95,Химки
96,Псков
97,Балаково
98,Рыбинск
99,Северодвинск
100,Южно-Сахалинск
101,Подольск
102,Уссурийск
103,Королёв
104,Петропавловск-Камчатский
105,Сызрань
106,Златоуст
107,Каменск-Уральский
108,Норильск
109,Мытищи
110,Люберцы
111,Волгодонск
112,Новочеркасск
113,Майкоп
114,Миасс
115,Абакан
116,Находка
117,Березники
118,Салават
119,Электросталь
120,Первоуральск
121,Рубцовск
122,Альметьевск
123,Ковров
124,Коломна
125,Копейск
126,Одинцово
127,Кисловодск
128,Белово
129,Нефтекамск
130,Новомосковск
131,Железнодорожный
132,Хасавюрт
133,Черкесск
134,Серпухов
135,Новочебоксарск
136,Нефтеюганск
137,Димитровград
138,Ухта
139,Бор
140,Орехово-Зуево
141,Камышин
142,Дербент
143,Невинномысск
144,Красногорск
145,Муром
146,Северск
147,Артем
148,Батайск
149,Сергиев Посад
150,Новошахтинск
151,Новокуйбышевск
152,Ноябрьск
153,Ачинск
154,Щёлково
155,Кызыл
156,Октябрьский
157,Елец
158,Элиста
159,Арзамас
160,Новотроицк
161,Обнинск
162,Жуковский
163,Новый Уренгой
164,Ленинск-Кузнецкий
165,Чайковский
166,Тобольск
167,Киселевск
168,Пушкино
169,Магадан
170,Междуреченск
171,Сарапул
172,Серов
173,Ессентуки
174,Каспийск
175,Ногинск
176,Воткинск
177,Асбест
178,Великие Луки
179,Мичуринск
180,Зеленодольск
181,Соликамск
182,Бердск
183,Ейск
184,Раменское
185,Домодедово
186,Воркута
187,Глазов
188,Каменск-Шахтинский
189,Железногорск
190,Канск
191,Назрань
192,Верхняя Пышма
193,Гатчина
194,Озерск
195,Саров
196,Минеральные Воды
197,Воскресенск
198,Геленджик
199,Долгопрудный
200,Бугульма
201,Кузнецк
202,Губкин
203,Новоуральск
204,Кинешма
205,Реутов
206,Усть-Илимск
207,Усолье-Сибирское
208,Азов
209,Бузулук
210,Анжеро-Судженск
211,Балашов
212,Юрга
213,Кирово-Чепецк
214,Кропоткин
215,Клин
216,Ханты-Мансийск
217,Выборг
218,Ревда
219,Троицк
220,Лысьва
221,Шадринск
222,Биробиджан
223,Черногорск
224,Лобня
225,Минусинск
226,Котлас
227,Чапаевск
228,Георгиевск
229,Полевской
230,Чусовой
231,Михайловск
232,Елабуга
233,Дубна
234,Новоалтайск
235,Клинцы
236,Анапа
237,Краснокамск
238,Егорьевск
239,Белорецк
240,Березовский
241,Белогорск
242,Североморск
243,Гуково
244,Кумертау
245,Туймазы
246,Ступино
247,Кстово
248,Вольск
249,Черемхово
250,Ишимбай
251,Лесосибирск
252,Кунгур
253,Зеленогорск
254,Сосновый Бор
255,Борисоглебск
256,Ишим
257,Краснотурьинск
258,Наро-Фоминск
259,Будённовск
260,Донской
261,Лабинск
262,Лениногорск
263,Михайловка
264,Гусь-Хрустальный
265,Славянск-на-Кубани
266,Сибай
267,Павловский Посад
268,Заречный
269,Саяногорск
270,Тихорецк
271,Туапсе
272,Россошь
273,Буйнакск
274,Ржев
275,Нерюнгри
276,Алексин
277,Александров
278,Мелеуз
279,Сальск
280,Дмитров
281,Осинники
282,Чистополь
283,Чехов
284,Павлово
285,Белореченск
286,Жигулевск
287,Белебей
288,Искитим
289,Всеволожск
290,Апатиты
291,Прохладный
292,Свободный
293,Ивантеевка
294,Шуя
295,Тихвин
296,Когалым
297,Щекино
298,Крымск
299,Печора
300,Горячий Ключ
301,Вязьма
302,Баксан
303,Добрянка
304,Горно-Алтайск
305,Видное
306,Арсеньев
307,Мегион
308,Выкса
309,Климовск
310,Лиски
311,Краснокаменск
312,Волжск
313,Избербаш
314,Фрязино
315,Узловая
316,Лыткарино
317,Рославль
318,Кинель
319,Нягань
320,Тимашевск
321,Боровичи
322,Солнечногорск
323,Железноводск
324,Назарово
325,Лесной
326,Вышний Волочек
327,Кириши
328,Кизляр
329,Балахна
330,Иннополис
331,Керчь
332,Судак
333,Ялта
334,Алупка
335,Евпатория
336,Феодосия
337,Алушта
